Год,Средняя зарплата,Средняя зарплата - C#,Количество вакансий,Количество вакансий - C#
2003,40929,23900,1070,2
2004,42761,33775,4322,12
2005,372027,36151,9364,14
2006,41089,47253,23057,158
2007,44214,49324,35341,250
2008,48536,58646,46657,406
2009,44810,53657,31081,210
2010,44648,53249,51686,521
2011,46478,56808,77413,790
2012,47924,60826,95147,1012
2013,53506,69992,129472,1292
2014,49197,70945,141481,1326
2015,52046,76483,147698,1255
2016,61101,86067,177431,1670
2017,60929,91480,203791,1947
2018,69227,109447,283688,2888
2019,77751,115424,266918,2782
2020,89007,146994,235818,2236
2021,106617,188854,137310,1378
2022,127610,202524,47549,333
